Title,Author,year
Spelling as Statistical Learning: Using Consonantal Context to Spell Vowels,"Treiman, Rebecca; Kessler, Brett",2006
Learning by Preparing to Teach: Fostering Self-Regulatory Processes and Achievement during Complex Mathematics Problem Solving,"Muis, Krista R.; Psaradellis, Cynthia; Chevrier, Marianne; Di Leo, Ivana; Lajoie, Susanne P.",2016
Does Cognitive Strategy Training on Word Problems Compensate for Working Memory Capacity in Children with Math Difficulties?,"Swanson, H. Lee",2014
Topic Overviews and the Processing of Topic Structure,"Murray, John D.; McGlone, Chadd",1997
Exploring the Role of Off-Task Activity on Students' Collaborative Dynamics,"Langer-Osuna, Jennifer M.; Gargroetzi, Emma; Munson, Jen; Chavez, Rosa",2020
Effect of Early Grade Retention on School Completion: A Prospective Study,"Hughes, Jan N.; West, Stephen G.; Kim, Hanjoe; Bauer, Shelby S.",2018
Intrinsic and Extrinsic Reading Motivation as Predictors of Reading Literacy: A Longitudinal Study,"Becker, Michael; McElvany, Nele; Kortenbruck, Marthe",2010
Teacher-Student Relationships and Students' Engagement in High School: Does the Number of Negative and Positive Relationships with Teachers Matter?,"Martin, Andrew J.; Collie, Rebecca J.",2019
Initial and Evolving Perceptions of Value and Cost of Engaging in Undergraduate Science Course Work and Effects on Achievement and Persistence,"Hong, Wonjoon; Bernacki, Matthew L.",2022
Revision of Achievement Goal Theory: Necessary and Illuminating,"Harackiewicz, Judith M.; Barron, Kenneth E.; Pintrich, Paul R.; Elliot, Andrew J.; Thrash, Todd M.",2002
Effects of Induced Levels of Prior Knowledge on Monitoring Accuracy and Performance When Learning from Self-Regulated Problem Solving,"Mihalca, Loredana; Mengelkamp, Christoph",2020
Drawing as a Generative Activity and Drawing as a Prognostic Activity,"Schwamborn, Annett; Mayer, Richard E.; Thillmann, Hubertina; Leopold, Claudia; Leutner, Detlev",2010
"Mental Number Line, Number Line Estimation, and Mathematical Achievement: Their Interrelations in Grades 5 and 6","Schneider, Michael; Grabner, Roland H.; Paetsch, Jennifer",2009
Identifying Patterns of Appraising Tests in First-Year College Students: Implications for Anxiety and Emotion Regulation during Test Taking,"Davis, Heather A.; DiStefano, Christine; Schutz, Paul A.",2008
Individualizing a Web-Based Structure Strategy Intervention for Fifth Graders' Comprehension of Nonfiction,"Meyer, Bonnie J. F.; Wijekumar, Kausalai K.; Lin, Yu-Chu",2011
The Role of Lexical Analogies in Beginning Reading: Insights from Children's Self-Reports,"Farrington-Flint, Lee; Wood, Clare",2007
Learning Argumentation Skills through the Use of Prompts for Self-Explaining Examples,"Schworm, Silke; Renkl, Alexander",2007
Academic Control and Action Control in the Achievement of College Students: A Longitudinal Field Study,"Perry, Raymond P.; Hladkyj, Steven; Pekrun, Reinhard H.; Pelletier, Sarah T.",2001
Gendered Socialization with an Embodied Agent: Creating a Social and Affable Mathematics Learning Environment for Middle-Grade Females,"Kim, Yanghee; Lim, Jae Hoon",2013
Promoting Understanding of Measurement and Statistical Investigation among Second-Grade Students with Mathematics Difficulties,"Doabler, Christian T.; Clarke, Ben; Kosty, Derek; Sutherland, Marah; Turtura, Jessica E.; Firestone, Allison R.; Kimmel, Georgia L.; Brott, Patrick; Brafford, Tasia L.; Nelson Fien, Nancy J.; Smolkowski, Keith; Jungjohann, Kathleen",2022
Earlier Understanding of Mathematical Equivalence in Elementary School Predicts Greater Algebra Readiness in Middle School,"Hornburg, Caroline Byrd; Devlin, Brianna L.; McNeil, Nicole M.",2022
Off-Task Behavior in Kindergarten: Relations to Executive Function and Academic Achievement,"Moffett, Lillie; Morrison, Frederick J.",2020
Importance of Assessing Spatial Ability in Intellectually Talented Young Adolescents: A 20-Year Longitudinal Study,"Shea, Daniel L.; Lubinski, David; Benbow, Camilla P.",2001
A New Tool for Measuring and Understanding Individual Differences in the Component Process of Reading Comprehension,"Hannon, Brenda; Daneman, Meredyth",2001
Closing the Word-Problem Achievement Gap in First Grade: Schema-Based Word-Problem Intervention with Embedded Language Comprehension Instruction,"Fuchs, Lynn S.; Seethaler, Pamela M.; Sterba, Sonya K.; Craddock, Caitlin; Fuchs, Douglas; Compton, Donald L.; Geary, David C.; Changas, Paul",2021
Students' Help Seeking during Problem Solving: Influences of Personal and Contextual Achievement Goals,"Newman, Richard S.",1998
Performance across Different Areas of Mathematical Cognition in Children with Learning Difficulties,"Hanich, Laurie B.; Jordan, Nancy C.; Kaplan, David; Dick, Jeanine",2001
Children's Early Interest-Based Activities in the Home and Subsequent Information Contributions and Pursuits in Kindergarten,"Neitzel, Carin; Alexander, Joyce M.; Johnson, Kathy E.",2008
Does Training on Self-Regulated Learning Facilitate Students' Learning with Hypermedia?,"Azevedo, Roger; Cromley, Jennifer G.",2004
Grit: The Long and Short of It,"Morell, Monica; Yang, Ji Seung; Gladstone, Jessica R.; Turci Faust, Lara; Ponnock, Annette R.; Lim, Hyo Jin; Wigfield, Allan",2021
Maximizing Gender Equality by Minimizing Course Choice Options? Effects of Obligatory Coursework in Math on Gender Differences in STEM,"Hübner, Nicolas; Wille, Eike; Cambria, Jenna; Oschatz, Kerstin; Nagengast, Benjamin; Trautwein, Ulrich",2017
Do High-Achieving Female Students Underperform in Private? The Implications of Threatening Environments on Intellectual Processing,"Inzlicht, Michael; Ben-Zeev, Talia",2003
Explicitly Teaching for Transfer: Effects on Third-Grade Students' Mathematical Problem Solving,"Fuchs, Lynn S.; Fuchs, Douglas; Prentice, Karin; Burch, Mindy; Hamlett, Carol L.; Owen, Rhoda; Hosp, Michelle; Jancek, Deborah",2003
Does the Interleaving Effect Extend to Unrelated Concepts? Learners' Beliefs versus Empirical Evidence,"Yan, Veronica X.; Sana, Faria",2021
A Meta-Analysis of Writing Instruction for Adolescent Students,"Graham, Steve; Perin, Dolores",2007
"A Meta-Analysis of Mathematics and Working Memory: Moderating Effects of Working Memory Domain, Type of Mathematics Skill, and Sample Characteristics","Peng, Peng; Namkung, Jessica; Barnes, Marcia; Sun, Congying",2016
"Why Do Some Students Avoid Asking for Help? An Examination of the Interplay among Students' Academic Efficacy, Teachers' Social-Emotional Role, and the Classroom Goal Structure","Ryan, Allison M.; Gheen, Margaret H.; Midgley, Carol",1998
Authoritative School Discipline: High School Practices Associated with Lower Bullying and Victimization,"Gregory, Anne; Cornell, Dewey; Fan, Xitao; Sheras, Peter; Shih, Tse-Hua; Huang, Francis",2010
Influence of Metacognitive Knowledge and Aptitude on Problem Solving,"Swanson, H. Lee",1990
"Social Contagion and High School Dropout: The Role of Friends, Romantic Partners, and Siblings","Dupéré, Véronique; Dion, Eric; Cantin, Stéphane; Archambault, Isabelle; Lacourse, Eric",2021
The Differential Effects of School Tracking on Psychometric Intelligence: Do Academic-Track Schools Make Students Smarter?,"Becker, Michael; Ludtke, Oliver; Trautwein, Ulrich; Koller, Olaf; Baumert, Jurgen",2012
"CBM Reading, Mathematics, and Written Expression at the Secondary Level: Examining Latent Composite Relations among Indices and Unique Predictions with a State Achievement Test","Codding, Robin S.; Petscher, Yaacov; Truckenmiller, Adrea",2015
Native Spanish-Speaking Children Reading in English: Toward a Model of Comprehension,"Proctor, C. Patrick; Carlo, Maria; August, Diane; Snow, Catherine",2005
Connections between Mathematics and Reading Development: Numerical Cognition Mediates Relations between Foundational Competencies and Later Academic Outcomes,"Spencer, Mercedes; Fuchs, Lynn S.; Geary, David C.; Fuchs, Douglas",2022
Facilitating Children's Proportional Reasoning: A Model of Reasoning Processes and Effects of Intervention on Strategy Change,"Fujimura, Nobuyuki",2001
Switching on and Switching off in Mathematics: An Ecological Study of Future Intent and Disengagement among Middle School Students,"Martin, Andrew J.; Anderson, Judy; Bobis, Janette; Way, Jennifer; Vellar, Rosemary",2012
Study Sequence Matters for the Inductive Learning of Cognitive Concepts,"Sana, Faria; Yan, Veronica X.; Kim, Joseph A.",2017
Acquiring Writing Revision and Self-Regulatory Skill through Observation and Emulation,"Zimmerman, Barry J.; Kitsantas, Anastasia",2002
Teaching Reading to Poor Readers in the Intermediate Grades: A Comparison of Text Difficulty,"O'Connor, Rollanda E.; Bell, Kathryn M.; Harty, Kristin R.; Larkin, Louise K.; Sackor, Sharry M.; Zigmond, Naomi",2002
A Researcher-Educator Collaborative Interview Study of Transactional Comprehension Strategies Instruction,"Pressley, Michael; And Others",1992
Why Does Parents' Involvement Enhance Children's Achievement? The Role of Parent-Oriented Motivation,"Cheung, Cecilia Sin-Sze; Pomerantz, Eva M.",2012
The Development of Word Recognition and Its Significance for Comprehension and Fluency,"Nunes, Terezinha; Bryant, Peter; Barros, Rossana",2012
The Evocative Influence of Child Academic and Social-Emotional Adjustment on Parent Involvement in Inner-City Schools,"Hoglund, Wendy L. G.; Jones, Stephanie M.; Brown, Joshua L.; Aber, J. Lawrence",2015
The Development of Comprehension of Main Ideas in Narratives: Evidence from the Selection of Titles,"van den Broek, Paul; Lynch, Julie S.; Naslund, Jan; Ievers-Landis, Carolyn E.; Verduin, Kees",2003
How Seductive Details Do Their Damage: A Theory of Cognitive Interest in Science Learning,"Harp, Shannon F.; Mayer, Richard E.",1998
Differential Patterns of Growth in Reading and Math Skills during Elementary School,"Little, Callie W.; Lonigan, Christopher J.; Phillips, Beth M.",2021
Transformation in Narrative Thought during Adolescence: The Structure and Content of Story Compositions,"McKeough, Anne; Genereux, Randy",2003
Exploring Differences in Students' Copy-and-Paste Decision Making and Processing: A Mixed-Methods Study,"Igo, L. Brent; Bruning, Roger; McCrudden, Matthew T.",2005
A Randomized Controlled Trial of a Smartphone-Based Well-Being Training in Public School System Employees during the COVID-19 Pandemic,"Hirshberg, Matthew J.; Frye, Corrina; Dahl, Cortland J.; Riordan, Kevin M.; Vack, Nathan J.; Sachs, Jane; Goldman, Robin; Davidson, Richard J.; Goldberg, Simon B.",2022
Teaching Mathematics by Comparison: Analog Visibility as a Double-Edged Sword,"Begolli, Kreshnik Nasi; Richland, Lindsey Engle",2016
"Don't Let Me Be Misunderstood: Psychological Safety, Black Girls' Speech, and Black Feminist Perspectives on Directness","Woodson, Ashley N.",2020
Reducing Interference from Misconceptions: The Role of Inhibition in Knowledge Revision,"Butterfuss, Reese; Kendeou, Panayiota",2020
Using Adaptive Learning Technologies to Personalize Instruction to Student Interests: The Impact of Relevant Contexts on Performance and Learning Outcomes,"Walkington, Candace A.",2013
Development of Early Childhood Teachers' Knowledge and Emotions in Mathematics during Transition from Teacher Training to Practice,"Jenßen, Lars; Eid, Michael; Szczesny, Markus; Eilerts, Katja; Blömeke, Sigrid",2021
Longitudinal Analysis of the Genetic and Environmental Influences on Components of Cognitive Delay in Preschoolers,"Eley, Thalia C.; Dale, Philip; Bishop, Dorothy; Price, Thomas S.; Plomin, Robert",2001
Do Jigsaw Classrooms Improve Learning Outcomes? Five Experiments and an Internal Meta-Analysis,"Stanczak, Arnaud; Darnon, Céline; Robert, Anaïs; Demolliens, Marie; Sanrey, Camille; Bressoux, Pascal; Huguet, Pascal; Buchs, Céline; Butera, Fabrizio",2022
Generality of Academic Self-Efficacy Judgments: Evidence of Hierarchical Relations,"Bong, Mimi",1997
The Effect of Track Changes on the Development of Academic Self-Concept in High School: A Dynamic Test of the Big-Fish-Little-Pond Effect,"Wouters, Sofie; De Fraine, Bieke; Colpin, Hilde; Van Damme, Jan; Verschueren, Karine",2012
Inferential Questioning: Effects on Comprehension of Narrative Texts as a Function of Grade and Timing,"van den Broek, Paul; Yuhtsuen, Tzeng; Risden, Kirsten; Trabasso, Tom; Basche, Patricia",2001
Reading Achievement across Three Language Groups: Growth Estimates for Overall Reading and Reading Subskills Obtained with the Early Childhood Longitudinal Survey,"Roberts, Greg; Mohammed, Sarojani S.; Vaughn, Sharon",2010
Expression of Superordinates in Children's Word Definitions,"Anglin, Jeremy M.; Skwarchuk, Sheri-Lynn",1997
Adult and Student Interactions in Nonclassroom Settings,"Cash, Anne H.; Debnam, Katrina J.; Waasdorp, Tracy E.; Wahl, Mary; Bradshaw, Catherine P.",2019
Nonlinear Gompertz Curve Models of Achievement Gaps in Mathematics and Reading,"Cameron, Claire E.; Grimm, Kevin J.; Steele, Joel S.; Castro-Schilo, Laura; Grissmer, David W.",2015
Different Strokes for Different Folks: How Individual Interest Moderates the Effects of Situational Factors on Task Interest,"Durik, Amanda M.; Harackiewicz, Judith M.",2007
More Useful or Not so Bad? Examining the Effects of Utility Value and Cost Reduction Interventions in College Physics,"Rosenzweig, Emily Q.; Wigfield, Allan; Hulleman, Chris S.",2020
Teacher Personality and Teacher Effectiveness in Secondary School: Personality Predicts Teacher Support and Student Self-Efficacy but Not Academic Achievement,"Kim, Lisa E.; Dar-Nimrod, Ilan; MacCann, Carolyn",2018
Effects of Rime-Based Orthographic Analogy Training on the Word Recognition Skills of Children with Reading Disability,"Greaney, Keith T.; Tunmer, William E.; Chapman, James W.",1997
The Internal/External Frame of Reference of Academic Self-Concept: Extension to a Foreign Language and the Role of Language of Instruction,"Xu, Man K.; Marsh, Herbert W.; Hau, Kit-Tai; Ho, Irene T.; Morin, Alexandre J. S.; Abduljabbar, Adel S.",2013
Integrating Formal and Grounded Representations in Combinatorics Learning,"Braithwaite, David W.; Goldstone, Robert L.",2013
Predicting Age of Becoming a Cardinal Principle Knower,"Geary, David C.; vanMarle, Kristy; Chu, Felicia W.; Hoard, Mary K.; Nugent, Lara",2019
Effective Intervention for Adolescents with Reading Disabilities: Combining Reading and Motivational Remediation to Improve Outcomes,"Lovett, Maureen W.; Frijters, Jan C.; Steinbach, Karen A.; Sevcik, Rose A.; Morris, Robin D.",2021
"Growth Goal Setting in High School: A Large-Scale Study of Perceived Instructional Support, Personal Background Attributes, and Engagement Outcomes","Martin, Andrew J.; Burns, Emma C.; Collie, Rebecca J.; Bostwick, Keiko C. P.; Flesken, Anaïd; McCarthy, Ian",2022
"Catching up or Falling behind? Initial English Proficiency, Concentrated Poverty, and the Reading Growth of Language Minority Learners in the United States","Kieffer, Michael J.",2008
Improving At-Risk Learners' Understanding of Fractions,"Fuchs, Lynn S.; Schumacher, Robin F.; Long, Jessica; Namkung, Jessica; Hamlett, Carol L.; Cirino, Paul T.; Jordan, Nancy C.; Siegler, Robert; Gersten, Russell; Changas, Paul",2013
Learning the Control of Variables Strategy in Higher and Lower Achieving Classrooms: Contributions of Explicit Instruction and Experimentation,"Lorch, Robert F., Jr.; Lorch, Elizabeth P.; Calderhead, William J.; Dunlap, Emily E.; Hodell, Emily C.; Freer, Benjamin Dunham",2010
Do Multiple Representations Need Explanations? The Role of Verbal Guidance and Individual Differences in Multimedia Mathematics Learning,"Moreno, Roxana; Duran, Richard",2004
"Self-Efficacy, Locus of Control, Self-Assessment of Memory Ability, and Study Activities as Predictors of College Course Achievement","Wilhite, Stephen C.",1990
"Reading Achievement Gaps, Correlates, and Moderators of Early Reading Achievement: Evidence from the Early Childhood Longitudinal Study (ECLS) Kindergarten to First Grade Sample","Chatterji, Madhabi",2006
A Latent Growth Moderated Mediation Model of Math Achievement and Postsecondary Attainment: Focusing on Context-Invariant Predictors,"Guglielmi, R. Sergio; Brekke, Nancy",2018
Are the Relations of Rapid Automatized Naming with Reading and Mathematics Accuracy and Fluency Bidirectional? Evidence from a 5-Year Longitudinal Study with Chinese Children,"Georgiou, George K.; Wei, Wei; Inoue, Tomohiro; Deng, Ciping",2020
"Negative Life Events, Self-Efficacy, and Social Support: Risk and Protective Factors for School Dropout Intentions and Dropout","Samuel, Robin; Burger, Kaspar",2020
"Tracing Children's Approaches to Learning through Head Start, Kindergarten, and First Grade: Different Pathways to Different Outcomes","McDermott, Paul A.; Rikoon, Samuel H.; Fantuzzo, John W.",2014
The Art of Living Together: Reducing Stereotyping and Prejudicial Attitudes through the Arab-Jewish Class Exchange Program (CEP),"Berger, Rony; Abu-Raiya, Hisham; Gelkopf, Marc",2015
Understanding the Role of Personal Best (PB) Goal Setting in Students' Declining Engagement: A Latent Growth Model,"Burns, Emma C.; Martin, Andrew J.; Collie, Rebecca J.",2019
Visual Mnemonics for Language Learning: Static Pictures versus Animated Morphs,"Soemer, Alexander; Schwan, Stephan",2012
Effects of First-Grade Number Knowledge Tutoring with Contrasting Forms of Practice,"Fuchs, Lynn S.; Geary, David C.; Compton, Donald L.; Fuchs, Douglas; Schatschneider, Christopher; Hamlett, Carol L.; DeSelms, Jacqueline; Seethaler, Pamela M.; Wilson, Julie; Craddock, Caitlin F.; Bryant, Joan D.; Luther, Kurstin; Changas, Paul",2013
Development of Adolescent Reading Comprehension in Language 1 and Language 2: A Longitudinal Analysis of Constituent Components,"van Gelderen, Amos; Schoonen, Rob; Stoel, Reinoud; de Glopper, Kees; Hulstijn, Jan",2007
Multiple Indicators of Children's Reading Habits and Attitudes: Construct Validity and Cognitive Correlates,"Allen, Linda; And Others",1992
Engaging Students in Active Learning: The Case for Personalized Multimedia Messages,"Moreno, Roxana; Mayer, Richard E.",2000
"Expanding the Direct and Indirect Effects Model of Writing (DIEW): Reading-Writing Relations, and Dynamic Relations as a Function of Measurement/Dimensions of Written Composition","Kim, Young-Suk Grace; Graham, Steve",2022
Sex Differences in Mathematics and Science Achievement: A Meta-Analysis of National Assessment of Educational Progress Assessments,"Reilly, David; Neumann, David L.; Andrews, Glenda",2015
"""Teacher Effects"" in Early Literacy Development: Evidence from a Study of Twins","Byrne, Brian; Coventry, William L.; Olson, Richard K.; Wadsworth, Sally J.; Samuelsson, Stefan; Petrill, Stephen A.; Willcutt, Erik G.; Corley, Robin",2010
Learning to Use Benefit-Cost Arguments: A Microgenetic Study of Argument-Counterargument Integration in an Undergraduate Seminar Course,"Nussbaum, E. Michael; Putney, LeAnn G.",2020
The Codevelopment of Children's Fraction Arithmetic Skill and Fraction Magnitude Understanding,"Bailey, Drew H.; Hansen, Nicole; Jordan, Nancy C.",2017
Building Word-Problem Solving and Working Memory Capacity: A Randomized Controlled Trial Comparing Three Intervention Approaches,"Fuchs, Lynn S.; Fuchs, Douglas; Sterba, Sonya K.; Barnes, Marcia A.; Seethaler, Pamela M.; Changas, Paul",2022
Enhancing the Recall of Text: Knowledge Mapping Training Promotes Implicit Transfer,"Chmielewski, Todd L.; Dansereau, Donald F.",1998
Relational Reasoning's Contributions to Mathematical Thinking and Performance in Chinese Elementary and Middle-School Students,"Zhao, Hongyang; Alexander, Patricia A.; Sun, Yuting",2021
Achievement Goals and Achievement Emotions: Testing a Model of Their Joint Relations with Academic Performance,"Pekrun, Reinhard; Elliot, Andrew J.; Maier, Markus A.",2009
Fluctuations in Elementary School Children's Working Memory Performance in the School Context,"Dirk, Judith; Schmiedek, Florian",2016
Retrieval Practice & Bloom's Taxonomy: Do Students Need Fact Knowledge before Higher Order Learning?,"Agarwal, Pooja K.",2019
Differential Relations between Facets of Complex Problem Solving and Students' Immigration Background,"Sonnleitner, Philipp; Brunner, Martin; Keller, Ulrich; Martin, Romain",2014
"Unmotivated or Motivated to Fail? A Cross-Cultural Study of Achievement Motivation, Fear of Failure, and Student Disengagement","De Castella, Krista; Byrne, Don; Covington, Martin",2013
The Family-Study Interface and Academic Outcomes: Testing a Structural Model,"Meeuwisse, Marieke; Born, Marise Ph.; Severiens, Sabine E.",2011
Two Procedures To Improve Instructional Text: Effects on Memory and Learning,"Vidal-Abarca, Eduardo; Martinez, Gabriel; Gilabert, Ramiro",2000
"Math, Verbal, and General Academic Self-Concept: The Internal/External Frame of Reference Model and Gender Differences in Self-Concept Structure","Skaalvik, Einar M.; Rankin, Richard J.",1990
Doing the Things We Do: A Grounded Theory of Academic Procrastination,"Schraw, Gregory; Wadkins, Theresa; Olafson, Lori",2007
Relative Importance of Intelligence and Ability Self-Concept in Predicting Test Performance and School Grades in the Math and Language Arts Domains,"Lauermann, Fani; Meißner, Anja; Steinmayr, Ricarda",2020
"Peer Harassment, Psychological Adjustment, and School Functioning in Early Adolescence","Juvonen, Jaana; Nishina, Adrienne; Graham, Sandra",2000
Proximal Analysis of Developmental Dyslexia in Adulthood: The Cognitive Mosaic Model,"Erskine, Jane M.; Seymour, Philip H. K.",2005
The Effects of an Elaborated Goal on the Persuasive Writing of Students with Learning Disabilities and Their Normally Achieving Peers,"Ferretti, Ralph P.; MacArthur, Charles A.; Dowdy, Nancy S.",2000
"School Avoidance and Substance Use among Lesbian, Gay, Bisexual, and Questioning Youths: The Impact of Peer Victimization and Adult Support","Darwich, Lina; Hymel, Shelley; Waterhouse, Terry",2012
Approach Goal Orientations in North African French Adolescents: The Longitudinal Effects of Ethnic Identity and Valuing of School,"Hoffman, Adam J.; Kurtz-Costes, Beth; Loose, Florence; Dumas, Florence; Smeding, Annique; Régner, Isabelle",2019
Universal Factors of Student Achievement in High-Performing Eastern and Western Countries,"Lee, Jihyun",2014
The Development of Bilingual Children's Early Spelling in English,"Liow, Susan J. Rickard; Lau, Lily H.-S.",2006
Classroom Learning and Motivation: Clarifying and Expanding Goal Theory,"Blumenfeld, Phyllis C.",1992
"Predictors of Academic Self-Handicapping and Achievement: Examining Achievement Goals, Classroom Goal Structures, and Culture","Urdan, Tim",2004
Use and Maintenance of Strategies: The Influence of Accessibility to Knowledge,"Rabinowitz, Mitchell; And Others",1992
The Role of Production Factors in Learning Disabled Students' Compositions,"Graham, Steve",1990
Pictorial Aids for Learning by Doing in a Multimedia Geology Simulation Game,"Mayer, Richard E.; Mautone, Patricia; Prothero, William",2002
The Effect of Relevance Instructions on Reading Time and Learning,"McCrudden, Matthew T.; Schraw, Gregory; Kambe, Gretchen",2005
Modeling the Relationships between Cognitive-Linguistic Skills and Literacy Skills: New Insights from a Transparent Orthography,"Babayigit, Selma; Stainthorp, Rhona",2011
The Dilemma of Performance-Approach Goals: The Use of Multiple Goal Contexts to Promote Students' Motivation and Learning,"Linnenbrink, Elizabeth A.",2005
Do Children Read Words Better in Context or in Lists? A Classic Study Revisited,"Nicholson, Tom",1991
Effects of a Strategy-Focused Instructional Program on the Writing Quality of Upper Elementary Students in the Netherlands,"Bouwer, Renske; Koster, Monica; van den Bergh, Huub",2018
Supporting Teachers' Use of Data-Based Instruction to Improve Students' Early Writing Skills,"McMaster, Kristen L.; Lembke, Erica S.; Shin, Jaehyun; Poch, Apryl L.; Smith, R. Alex; Jung, Pyung-Gang; Allen, Abigail A.; Wagner, Kyle",2020
"A Latent Profile Analysis of Undergraduates' Achievement Motivations and Metacognitive Behaviors, and Their Relations to Achievement in Science","Hong, Wonjoon; Bernacki, Matthew L.; Perera, Harsha N.",2020
Perceived Competence Moderates the Relation between Performance-Approach and Performance-Avoidance Goals,"Law, Wilbert; Elliot, Andrew J.; Murayama, Kou",2012
Patterns of School Readiness among Head Start Children: Meaningful Within-Group Variability during the Transition to Kindergarten,"McWayne, Christine M.; Cheung, Katherine; Wright, Linnie E. Green; Hahs-Vaughn, Debbie L.",2012
Motivational Dynamics of Children's Academic Help-Seeking and Concealment,"Marchand, Gwen; Skinner, Ellen A.",2007
Taking It to the Classroom: Number Board Games as a Small Group Learning Activity,"Ramani, Geetha B.; Siegler, Robert S.; Hitti, Aline",2012
Getting the Point: Which Kinds of Gestures by Pedagogical Agents Improve Multimedia Learning?,"Li, Wenjing; Wang, Fuxing; Mayer, Richard E.; Liu, Huashan",2019
The Nature of Spanish versus English Language Use at Home,"Branum-Martin, Lee; Mehta, Paras D.; Carlson, Coleen D.; Francis, David J.; Goldenberg, Claude",2014
The Role of Arts-Related Information and Communication Technology Use in Problem Solving and Achievement: Findings from the Programme for International Student Assessment,"Liem, Gregory Arief D.; Martin, Andrew J.; Anderson, Michael; Gibson, Robyn; Sudmalis, David",2014
What Happens to the Fish's Achievement in a Little Pond? A Simultaneous Analysis of Class-Average Achievement Effects on Achievement and Academic Self-Concept,"Stäbler, Franziska; Dumont, Hanna; Becker, Michael; Baumert, Jürgen",2017
Opening the Black Box: Intervention Fidelity in a Randomized Trial of a Preschool Teacher Professional Development Program,"Mendive, Susana; Weiland, Christina; Yoshikawa, Hirokazu; Snow, Catherine",2016
Implementing Reciprocal Teaching in the Classroom: Overcoming Obstacles and Making Modifications,"Hacker, Douglas J.; Tenent, Arnette",2002
Reading Prosody Unpacked: A Longitudinal Investigation of Its Dimensionality and Relation with Word Reading and Listening Comprehension for Children in Primary Grades,"Kim, Young-Suk Grace; Quinn, Jamie M.; Petscher, Yaacov",2021
Can Small Changes Matter? Reducing Cognitive Load in Educational Media Supports Low-Income Preschoolers' Vocabulary Learning,"Samudra, Preeti G.; Wong, Kevin M.; Neuman, Susan B.",2022
The Nature of Phonological Awareness: Converging Evidence from Four Studies of Preschool and Early Grade School Children,"Anthony, Jason L.; Lonigan, Christopher J.",2004
"Educational Psychology's Past and Future Contributions to the Science of Learning, Science of Instruction, and Science of Assessment","Mayer, Richard E.",2018
"U.S. Children's Understanding of the English Alphabet: Its Acquisition, Conceptualization, and Measurement","Anthony, Jason L.; Chen, Yi-Jui Iva; Williams, Jeffrey M.; Cen, Weiliang; Erazo, Noé A.",2021
Articulation Accuracy and Vocabulary Size Contributions to Phonemic Awareness and Word Reading in English Language Learners,"Roberts, Theresa A.",2005
Perceived Achievement Goal Structure and College Student Help Seeking,"Karabenick, Stuart A.",2004
Individual Differences in Students' Complex Problem Solving Skills: How They Evolve and What They Imply,"Wüstenberg, Sascha; Greiff, Samuel; Vainikainen, Mari-Pauliina; Murphy, Kevin",2016
Explicit Self-Regulated Strategy Development Versus Reciprocal Questioning: Effects on Expository Reading Comprehension Among Struggling Readers,"Mason, Linda H.",2004
"Instructor Presence in Video Lectures: The Role of Dynamic Drawings, Eye Contact, and Instructor Visibility","Fiorella, Logan; Stull, Andrew T.; Kuhlmann, Shelbi; Mayer, Richard E.",2019
The Relationship between the Discourse Knowledge and the Writing Performance of Elementary-Grade Students,"Olinghouse, Natalie G.; Graham, Steve",2009
Promoting Integration and Learning from Multiple Complementary Texts,"McCrudden, Matthew T.; Kulikowich, Jonna M.; Lyu, Bailing; Huynh, Linh",2022
"Modality of Thought, Campus Experiences, and the Development of Values","Biddle, Bruce J.; And Others",1990
"A Family Literacy Program Connecting School and Home: Effects on Attitude, Motivation, and Literacy Achievement","Morrow, Lesley Mandel; Young, John",1997
Contribution of Morphological Awareness to Chinese-English Biliteracy Acquisition,"Wang, Min; Cheng, Chenxi; Chen, Shi-Wei",2006
Creativity and Occupational Accomplishments Among Intellectually Precocious Youths: An Age 13 to Age 33 Longitudinal Study,"Wai, Jonathan; Lubinski, David; Benbow, Camilla P.",2005
Examining Variation in the Impact of School-Wide Positive Behavioral Interventions and Supports: Findings from a Randomized Controlled Effectiveness Trial,"Bradshaw, Catherine P.; Waasdorp, Tracy E.; Leaf, Philip J.",2015
Motivational Variables and Children's Text Search,"Reynolds, P. Lee; Symons, Sonya",2001
Multimedia Effects during Retrieval Practice: Images That Reveal the Answer Reduce Vocabulary Learning,"van den Broek, Gesa S. E.; van Gog, Tamara; Jansen, Evelien; Pleijsant, Mirja; Kester, Liesbeth",2021
The Role of STEM Professors' Mindset Beliefs on Students' Anticipated Psychological Experiences and Course Interest,"LaCosse, Jennifer; Murphy, Mary C.; Garcia, Julie A.; Zirkel, Sabrina",2021
Remediating Number Combination and Word Problem Deficits among Students with Mathematics Difficulties: A Randomized Control Trial,"Fuchs, Lynn S.; Powell, Sarah R.; Seethaler, Pamela M.; Cirino, Paul T.; Fletcher, Jack M.; Fuchs, Douglas; Hamlett, Carol L.; Zumeta, Rebecca O.",2009
Finding Similarities and Differences in the Solutions of Word Problems,"Reed, Stephen K.; Stebick, Sara; Comey, Brittany; Carroll, Donja",2012
Toward Automated Computer-Based Visualization and Assessment of Team-Based Performance,"Ifenthaler, Dirk",2014
Does Growth Rate in Oral Reading Fluency Matter in Predicting Reading Comprehension Achievement?,"Kim, Young-Suk; Petscher, Yaacov; Schatschneider, Christopher; Foorman, Barbara",2010
